GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
api-geo-cl,cl.felruiz.apigeocl.mapper,RegionMapper,0,22,0,2,0,8,0,3,0,2
api-geo-cl,cl.felruiz.apigeocl.mapper,ComunaMapper,0,37,0,2,0,11,0,3,0,2
api-geo-cl,cl.felruiz.apigeocl.mapper,ProvinciaMapper,0,27,0,2,0,9,0,3,0,2
api-geo-cl,cl.felruiz.apigeocl.service,RegionService,0,118,0,4,0,27,0,9,0,7
api-geo-cl,cl.felruiz.apigeocl.service,ComunaService,0,71,0,2,0,18,0,6,0,5
api-geo-cl,cl.felruiz.apigeocl.service,ProvinciaService,0,82,0,4,0,20,0,7,0,5
api-geo-cl,cl.felruiz.apigeocl.controller,ComunaController,0,17,0,0,0,3,0,3,0,3
api-geo-cl,cl.felruiz.apigeocl.controller,ProvinciaController,0,23,0,0,0,4,0,4,0,4
api-geo-cl,cl.felruiz.apigeocl.controller,RegionController,0,29,0,0,0,5,0,5,0,5
api-geo-cl,cl.felruiz.apigeocl.exception,GlobalExceptionHandler,0,57,0,0,0,22,0,4,0,4
api-geo-cl,cl.felruiz.apigeocl.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
api-geo-cl,cl.felruiz.apigeocl.util,CorsConfig,0,49,0,0,0,6,0,2,0,2
api-geo-cl,cl.felruiz.apigeocl.util,TextUtils,0,19,0,4,0,5,0,3,0,1
